,Channel 7
0.423369375,1
0.450321375,1
0.45047975,1
0.450330625,1
0.450297875,1
0.450208,1
0.45037325,1
0.450387375,1
0.45035025,1
0.45034875,1
0.45018775,1
0.450377375,1
0.450262625,1
0.450369125,1
0.450395375,1
0.45036075,1
0.45034325,1
0.450205,1
0.450264375,1
0.45019675,1
0.450250625000001,1
0.45023475,1
0.450311624999999,1
0.450374249999999,1
0.450209375,1
0.450314500000001,1
0.450252375,1
0.450279,1
0.45021075,1
0.450242750000001,1
0.450172,1
0.450180249999999,1
0.450154124999999,1
0.450238000000001,1
0.450283750000001,1
0.450201249999999,1
0.450302375,1
0.450170750000002,1
0.450262875,1
0.450257749999999,1
0.450170750000002,1
0.450289874999999,1
0.450097500000002,1
0.450151375000001,1
0.45003925,1
0.450258625,1
0.450171749999999,1
0.450174125,1
0.450231500000001,1
0.450161250000001,1
0.450288,1
0.450172000000002,1
0.450135,1
